run,radius,source_angle, rotary_angle
38, 0., -180, 0
42, 5., -180, 0
44, 10., -180, 0
48, 15., -180, 0
50, 20., -180, 0
54, 25., -180, 0
60, 2.5, -180, 0
64, 7.5, -180, 0
66, 12.5, -180, 0
70, 17.5, -180, 0
72, 22.5, -180, 0
76, 20., -180, 0
77, 20., -180, 0
82, 10., -180, 0
83, 10., -180, 0
84, 10., -180, 0
89, 5., -180, 0
91, 6., -180, 0
93, 7., -180, 0
95, 8., -180, 0
110, 10., -180, 0
113, 5., -180, 0
114, 6., -180, 0
115, 7., -180, 0
116, 8., -180, 0
117, 10., -180, 0
120, 10., -165, 0
121, 15., -150, 0
123, 15., -165, 0
124, 15., -180, 0
126, 18., -180, 0
128, 18., -150, 0
129, 18., -165, 0
131, 18., -225, -180
132, 15., -225, -180
134, 10., -210, -180
135, 10., -225, -180
137, -10., -180, -180
139. -5., -180, -180
140, -6., -180, -180
141, -7., -180, -180
142, -8., -180, -180
143, 10., -180, 0
